Variable,log2(FC),p-value,q-value,-log10(q-value),Mean
Ptpn6,3.570000000000001,0.005931034066126751,0.011673781336503446,1.932788445790236,7.915
H2-Ob,3.383333333333333,0.00033249654323338644,0.00171789880670583,2.765002421985343,7.621666666666666
Ly86,3.33,0.0027967593935617815,0.007117469799983694,2.147674366924704,8.115
H2-K1,3.3216666666666663,8.727859939223596e-06,0.00027056365811593147,3.5677305378923148,9.185833333333333
Pax5,3.3133333333333317,0.0019659573878430038,0.00581440042615838,2.2354950625410495,7.186666666666667
Cd97,3.3083333333333336,2.3575050013793854e-05,0.0003430350046559741,3.464661560559996,6.939166666666666
Tagap,3.2666666666666657,0.0002791063454481801,0.0017134009036407474,2.766141008389948,7.863333333333333
Lck,3.2249999999999988,0.0046116120658217605,0.009859308554515488,2.0061535415991645,7.177499999999999
Nfkbiz,3.1999999999999984,0.003820683021515861,0.00846008383335655,2.072625333393156,7.5200000000000005
Il4ra,3.1866666666666665,0.0002861190673912722,0.0017134009036407474,2.766141008389948,7.463333333333334
Nfkbia,3.1599999999999993,0.0021152520212834136,0.005961164787253256,2.2246688726000476,7.319999999999999
Ifngr1,3.000000000000001,0.0018673414359838855,0.00581440042615838,2.2354950625410495,7.46
Cd22,2.9849999999999994,0.019677455154845775,0.02741578021574018,1.5619993901755724,6.9375
Cxcr5,2.9333333333333327,0.001542638055514584,0.005313531080105789,2.274616774786164,7.416666666666667
Arhgdib,2.828333333333333,0.006790604831257305,0.012758106046604633,1.894213792273048,9.609166666666665
Sell,2.7750000000000004,0.00018369124865945692,0.0012654286018762588,2.897762353615885,8.0525
Cd55,2.7,0.0008942890779147637,0.003960423059336811,2.4022584194982657,8.57
Il1r2,2.634999999999999,0.0018761453194125833,0.00581440042615838,2.2354950625410495,7.5925
Il16,2.5333333333333323,7.33706828416915e-07,9.097964672369746e-05,4.041055753879406,7.026666666666667
Tgfbr2,2.5266666666666664,0.0001612395558398811,0.0011761002896556033,2.929555643066918,7.5633333333333335
Stat3,2.508333333333332,0.0034708340862514247,0.007970063457318086,2.0985382207552843,7.849166666666666
B2m,2.4816666666666656,0.018811774399937177,0.026812184202209308,1.5716678056244153,12.105833333333335
Nfkb2,2.386666666666666,0.002944095876918015,0.007117469799983694,2.147674366924704,7.813333333333333
Nfkb1,2.325000000000001,0.00013995383721356527,0.001084642238405131,2.9647134871685963,7.3775
Plaur,2.309999999999997,0.004879750108483739,0.010255745990711586,1.9890327440848532,8.295
Il1b,2.283333333333335,0.07458841107098704,0.08643890628787283,1.0632907368853564,7.8616666666666655
Fcgr2b,2.2716666666666674,0.0023327875001767067,0.0064273510150957905,2.1919679814407123,8.480833333333335
Syk,2.2349999999999985,0.0029069323566759822,0.007117469799983694,2.147674366924704,9.092500000000001
Btla,2.218333333333331,0.0015395894053844353,0.005313531080105789,2.274616774786164,7.814166666666666
Cebpb,2.1533333333333333,0.0013380665332872242,0.00502788636750351,2.2986145461260663,8.086666666666668
Ccl3,2.1000000000000005,0.061808645199151066,0.07236944986813586,1.140444728743865,8.35
Jak1,2.003333333333333,0.00031780823212691284,0.0017134009036407474,2.766141008389948,8.801666666666668
Relb,1.9916666666666663,0.010502307382291005,0.016912806693559542,1.7717843149109285,7.500833333333333
Tcf7,1.959999999999999,0.014311836017135754,0.021642288611278458,1.6646968157145032,7.32
